Threshold,HP Limit,User aware,Promotion Cycles,Accesses,Misses,Miss rate,Avg promotions per cycle,Page evictions,Hugepage evictions,Total insertions,"final state, num pages","final state, num hugepages",running?,,
0.0500,256,FALSE,5000,2179655452,17836456,0.81832%,19.33983421,17402795,5531,,57856,399,,,
0.1000,256,FALSE,5000,2179655452,17067528,0.78304%,4.55742645,16847944,59,,116224,285,,,
0.1250,256,FALSE,5000,2179655452,16975975,0.77884%,4.31909752,16761271,1,,130560,257,,,
0.1375,256,FALSE,5000,2179655452,17019191,0.78082%,3.73231459,16804376,0,,130560,257,,,
0.1500,256,FALSE,5000,2179655452,17052033,0.78233%,2.79428101,16836692,0,,130560,257,,,
0.1750,128,FALSE,5000,2179655452,17124051,0.78563%,1.08770859,16935002,0,,130560,257,,,
0.2000,128,FALSE,5000,2179655452,17299237,0.79367%,0.79844499,17082096,0,,134144,250,,,
0.2500,256,FALSE,5000,2179655452,17929788,0.82260%,0.76618069,17706445,0,,174080,172,,,
0.3000,128,FALSE,5000,2179655452,18239184,0.83679%,0.73998624,18012216,0,,196608,128,,,
0.4000,256,FALSE,5000,2179655452,18256209,0.83757%,0.28892639,18012216,0,,196608,128,,,
0.5000,256,FALSE,5000,2179655452,18265909,0.83802%,0.08652514,18012216,0,,196608,128,,,
0.5500,128,FALSE,5000,2179655452,18266779,0.83806%,0.08220106,18012216,0,,196608,128,,,
0.6000,256,FALSE,5000,2179655452,18267823,0.83811%,0.07725991,18012216,0,,196608,128,,,
0.7000,128,FALSE,5000,2179655452,18269386,0.83818%,0.06842595,18012216,0,,196608,128,,,
0.7250,128,FALSE,5000,2179655452,18269635,0.83819%,0.06384954,18012216,0,,196608,128,,,
0.7500,256,FALSE,5000,2179655452,18271014,0.83825%,0.04706019,18012216,0,,196608,128,,,
0.7750,128,FALSE,5000,2179655452,18270030,0.83821%,0.01602317,18008921,0,,197120,127,,,
0.8000,128,FALSE,5000,2179655452,18271001,0.83825%,0.00391346,18008921,0,,197120,127,,,
0.8250,128,FALSE,5000,2179655452,18271065,0.83825%,0.00258986,18008921,0,,197120,127,,,
0.8500,256,FALSE,5000,2179655452,18271065,0.83825%,0.00222283,18008921,0,,197120,127,,,
0.8750,128,FALSE,5000,2179655452,18271065,0.83825%,0.00191773,18008921,0,,197120,127,,,
0.9000,128,FALSE,5000,2179655452,18271065,0.83825%,0.00155529,18008921,0,,197120,127,,,
0.9250,256,FALSE,5000,2179655452,18271065,0.83825%,0.00121349,18008921,0,,197120,127,,,
0.9500,256,FALSE,5000,2179655452,18282777,0.83879%,0.00088775,18020633,0,,199168,123,,,
0.0500,128,TRUE,5000,2179655452,17810895,0.81714%,19.33983421,17402795,5531,,57856,399,,,
0.1000,128,TRUE,5000,2179655452,17041626,0.78185%,4.55742645,16847944,59,,116224,285,,,
0.1000,256,TRUE,5000,2179655452,17041626,0.78185%,4.55742645,16847944,59,,116224,285,,,
0.1250,128,TRUE,5000,2179655452,16949945,0.77764%,4.31909752,16761271,1,,130560,257,,,
0.1250,256,TRUE,5000,2179655452,16949945,0.77764%,4.31909752,16761271,1,,130560,257,,,
0.1375,256,TRUE,5000,2179655452,16993036,0.77962%,3.73231459,16804376,0,,130560,257,,,
0.1500,128,TRUE,5000,2179655452,17025752,0.78112%,2.79428101,16836692,0,,130560,257,,,
0.1500,256,TRUE,5000,2179655452,17025752,0.78112%,2.79428101,16836692,0,,130560,257,,,
0.1750,256,TRUE,5000,2179655452,17124051,0.78563%,1.08770859,16935002,0,,130560,257,,,
0.2000,128,TRUE,5000,2179655452,17272397,0.79244%,0.79844499,17082096,0,,134144,250,,,
0.2500,128,TRUE,5000,2179655452,17917208,0.82202%,0.76618069,17723058,0,,173568,173,,,
0.2500,256,TRUE,5000,2179655452,17917208,0.82202%,0.76618069,17723058,0,,173568,173,,,
0.3000,128,TRUE,5000,2179655452,18226886,0.83623%,0.73998624,18030661,0,,196096,129,,,
0.4000,128,TRUE,5000,2179655452,18226886,0.83623%,0.28892639,18030661,0,,196096,129,,,
0.4000,256,TRUE,5000,2179655452,18226886,0.83623%,0.28892639,18030661,0,,196096,129,,,
0.5000,128,TRUE,5000,2179655452,18226886,0.83623%,0.08652514,18030661,0,,196096,129,,,
0.5000,256,TRUE,5000,2179655452,18226886,0.83623%,0.08652514,18030661,0,,196096,129,,,
0.5500,128,TRUE,5000,2179655452,18226886,0.83623%,0.08220106,18030661,0,,196096,129,,,
0.7250,128,TRUE,5000,2179655452,18226886,0.83623%,0.06384954,18030661,0,,196096,129,,,
0.7500,256,TRUE,5000,2179655452,18226886,0.83623%,0.04706019,18030661,0,,196096,129,,,
0.8000,128,TRUE,5000,2179655452,18226886,0.83623%,0.00391346,18030661,0,,196096,129,,,
0.8500,256,TRUE,5000,2179655452,18226886,0.83623%,0.00222283,18030661,0,,196096,129,,,
0.9000,128,TRUE,5000,2179655452,18226886,0.83623%,0.00391346,18030661,0,,196096,129,,,
0.0500,128,FALSE,2500,2179655452,17718549,0.81291%,6.91315222,17494691,1502,,58368,398,,,
0.0750,128,FALSE,2500,2179655452,16996005,0.77976%,2.45279479,16784172,4,,129024,260,,,
0.1000,256,FALSE,2500,2179655452,17087111,0.78394%,2.26915002,16873226,0,,130560,257,,,
0.1250,128,FALSE,2500,2179655452,17191251,0.78871%,2.13628483,17001786,0,,130560,257,,,
0.1375,256,FALSE,2500,2179655452,17302164,0.79380%,1.83173668,17087163,0,,131072,256,,,
0.1500,256,FALSE,2500,2179655452,17386004,0.79765%,1.36034691,17170445,0,,134144,250,,,
0.1750,256,FALSE,2500,2179655452,17958326,0.82391%,0.53538162,17738779,0,,172032,176,,,
0.2500,256,FALSE,2500,2179655452,18238559,0.83676%,0.37892342,18012216,0,,196608,128,,,
0.3000,256,FALSE,2500,2179655452,18240953,0.83687%,0.35460994,18012216,0,,196608,128,,,
0.5000,256,FALSE,2500,2179655452,18266338,0.83804%,0.03777203,18012216,0,,196608,128,,,
0.6000,256,FALSE,2500,2179655452,18270511,0.83823%,0.02773948,18012216,0,,196608,128,,,
0.7500,256,FALSE,2500,2179655452,18226886,0.83623%,0.01228979,18030661,0,,196096,129,,,
0.9000,256,FALSE,2500,2179655452,18620200,0.85427%,0.00000000,18358056,0,,262144,0,,, 
0.0500,128,TRUE,2500,2179655452,17694602,0.81181%,6.91315222,17494691,1502,,58368,398,,,
0.1000,256,TRUE,2500,2179655452,17062090,0.78279%,2.26915002,16873226,0,,130560,257,,,
0.1250,256,TRUE,2500,2179655452,17191251,0.78871%,2.13628483,17001786,0,,130560,257,,117314,
0.1500,256,TRUE,2500,2179655452,17360396,0.79647%,1.36034691,17170445,0,,134144,250,,8113,
0.2500,128,TRUE,2500,2179655452,18226886,0.83623%,0.37892342,18030661,0,,196096,129,,,
0.2500,256,TRUE,2500,2179655452,18226886,0.83623%,0.37892342,18030661,0,,196096,129,,,59279
0.5000,256,TRUE,2500,2179655452,18226886,0.83623%,0.03777203,18030661,0,,196096,129,,,
0.7500,256,TRUE,2500,2179655452,18226886,0.83623%,0.01228979,18030661,0,,196096,129,,,
0.0500,256,FALSE,10000,2179655452,17652652,0.80988%,93.52675629,17039802,12133,,57856,399,,,
0.1000,256,FALSE,10000,2179655452,17290099,0.79325%,12.31263351,17079237,333,,82944,350,,,
0.1250,256,FALSE,10000,2179655452,16886885,0.77475%,8.99314117,16656312,76,,124928,268,,
0.1375,256,FALSE,10000,2179655452,16859519,0.77349%,7.74846792,16626182,66,,130048,258,,
0.1500,256,FALSE,10000,2179655452,16874653,0.77419%,6.00739002,16637960,62,,130560,257,,
0.1750,256,FALSE,10000,2179655452,16924225,0.77646%,2.54990768,16700828,22,,130560,257,,
0.2000,256,FALSE,10000,2179655452,16975010,0.77879%,1.68231177,16758655,2,,130560,257,,,
0.2250,256,FALSE,10000,2179655452,17034042,0.78150%,1.56464636,16817059,0,,130560,257,,,
0.2500,256,FALSE,10000,2179655452,17061430,0.78276%,1.5443542,16843647,0,,131072,256,,,
0.3000,256,FALSE,10000,2179655452,17536288,0.80454%,1.51326215,17315101,0,,153600,212,,
0.4000,256,FALSE,10000,2179655452,18255796,0.83755%,0.61263812,18012216,0,,196608,128,,
0.5000,256,FALSE,10000,2179655452,18226886,0.83623%,0.18263437,18030661,0,,196096,129,,,
0.6000,256,FALSE,10000,2179655452,18266455,0.83804%,0.17258233,18012216,0,,196608,128,,,
0.7500,256,FALSE,10000,2179655452,18269245,0.83817%,0.11683039,18012216,0,,196608,128,,,
0.8500,256,FALSE,10000,2179655452,18271001,0.83825%,0.01265796,18008921,0,,197120,127,,,
0.9000,256,FALSE,10000,2179655452,18271065,0.83825%,0.00886379,18008921,0,,197120,127,,,
0.1000,256,TRUE,10000,2179655452,17263393,0.79202%,12.31263351,17079237,333,,82944,350,,,
0.1500,256,TRUE,10000,2179655452,16847821,0.77296%,6.00739002,16637960,62,,130560,257,,,
0.1750,256,TRUE,10000,2179655452,16897393,0.77523%,2.54990768,16700828,22,,130560,257,,
0.5000,256,TRUE,10000,2179655452,18226886,0.83623%,0.18263437,18030661,0,,196096,129,,,
0.8500,256,TRUE,10000,2179655452,18226886,0.83623%,0.00957491,18030661,0,,196096,129,,,